date,hour_ending,interval_start_local,interval_end_local,is_extra_dst_hour,location_id,location_name,location_type,lmp,energy_component,congestion_component,marginal_loss_component
2025-01-01,01,2025-01-01 00:00:00,2025-01-01 01:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,56.45,55.51,0.0,0.94
2025-01-01,02,2025-01-01 01:00:00,2025-01-01 02:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,42.41,41.78,0.0,0.63
2025-01-01,03,2025-01-01 02:00:00,2025-01-01 03:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,33.63,33.17,0.0,0.46
2025-01-01,04,2025-01-01 03:00:00,2025-01-01 04:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,32.8,32.38,0.0,0.42
2025-01-01,05,2025-01-01 04:00:00,2025-01-01 05:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,31.95,31.51,0.03,0.41
2025-01-01,06,2025-01-01 05:00:00,2025-01-01 06:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,32.77,32.3,0.05,0.42
2025-01-01,07,2025-01-01 06:00:00,2025-01-01 07:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,32.52,32.05,0.07,0.4
2025-01-01,08,2025-01-01 07:00:00,2025-01-01 08:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,32.07,31.64,0.03,0.4
2025-01-01,09,2025-01-01 08:00:00,2025-01-01 09:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,31.91,31.46,0.0,0.45
2025-01-01,10,2025-01-01 09:00:00,2025-01-01 10:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,32.1,31.61,0.03,0.46
2025-01-01,11,2025-01-01 10:00:00,2025-01-01 11:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,36.08,35.49,0.04,0.55
2025-01-01,12,2025-01-01 11:00:00,2025-01-01 12:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,37.22,36.54,0.04,0.64
2025-01-01,13,2025-01-01 12:00:00,2025-01-01 13:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,40.65,39.82,0.08,0.75
2025-01-01,14,2025-01-01 13:00:00,2025-01-01 14:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,42.85,41.99,0.05,0.81
2025-01-01,15,2025-01-01 14:00:00,2025-01-01 15:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,41.48,40.57,0.11,0.8
2025-01-01,16,2025-01-01 15:00:00,2025-01-01 16:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,44.89,43.89,0.13,0.87
2025-01-01,17,2025-01-01 16:00:00,2025-01-01 17:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,49.13,48.04,0.1,0.99
2025-01-01,18,2025-01-01 17:00:00,2025-01-01 18:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,55.72,54.45,0.06,1.21
2025-01-01,19,2025-01-01 18:00:00,2025-01-01 19:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,46.6,45.59,0.0,1.01
2025-01-01,20,2025-01-01 19:00:00,2025-01-01 20:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,46.72,45.75,0.0,0.97
2025-01-01,21,2025-01-01 20:00:00,2025-01-01 21:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,41.0,40.19,0.0,0.81
2025-01-01,22,2025-01-01 21:00:00,2025-01-01 22:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,38.04,37.32,0.0,0.72
2025-01-01,23,2025-01-01 22:00:00,2025-01-01 23:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,38.1,37.4,0.0,0.7
2025-01-01,24,2025-01-01 23:00:00,2025-01-02 00:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,37.86,37.17,0.0,0.69
2025-01-02,01,2025-01-02 00:00:00,2025-01-02 01:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,38.7,37.99,0.0,0.71
2025-01-02,02,2025-01-02 01:00:00,2025-01-02 02:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,38.85,38.19,0.0,0.66
2025-01-02,03,2025-01-02 02:00:00,2025-01-02 03:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,38.19,37.56,0.01,0.62
2025-01-02,04,2025-01-02 03:00:00,2025-01-02 04:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,35.29,34.71,0.03,0.55
2025-01-02,05,2025-01-02 04:00:00,2025-01-02 05:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,37.92,37.3,0.03,0.59
2025-01-02,06,2025-01-02 05:00:00,2025-01-02 06:00:00,False,11136,LD.E_CAMBRG13.8,NETWORK NODE,46.55,45.71,0.0,0.84
